key,method,param,n_clusters,min_cluster_size,max_cluster_size,silhouette,calinski_harabasz,davies_bouldin,ari_mean,ari_sd,nmi_mean,nmi_sd
kmeans_k4,K-means,4,4,13,1611,0.2126670926809311,412.6178007446029,1.4986815365189972,0.8827184248057852,0.1074214340316776,0.9174363262561428,0.07555015018940672
kmeans_k5,K-means,5,5,13,1385,0.22298772633075714,410.5977388240871,1.520241306619657,0.9958167130249598,0.0025384141876891747,0.9919434152286316,0.004315775633553262
kmeans_k6,K-means,6,6,13,1384,0.20065073668956757,359.59414256000554,1.8385008013415893,0.9908437761576044,0.0067906669150564975,0.9828699340155239,0.008100585031836163
kmeans_k7,K-means,7,7,13,1157,0.156404048204422,324.88393231095534,2.156058423946463,0.9905692187511324,0.0021483595544767313,0.9824110250842935,0.004894966222834547
kmeans_k8,K-means,8,8,13,1156,0.15956710278987885,292.29754181608274,2.015837972323509,0.9201687165230176,0.13622637605822008,0.9457550345110322,0.06004386692565921
kmeans_k9,K-means,9,9,13,665,0.0834040492773056,266.2824779537461,2.3895233927816233,0.9267954377711204,0.04855469333334713,0.9477115098606292,0.027452172434420812
kmeans_k10,K-means,10,10,13,595,0.06874454766511917,244.85293143010432,2.5219416566742843,0.9416517962842329,0.027542398711787312,0.9572400696455008,0.013677845366030837
kmeans_k11,K-means,11,11,13,624,0.07142110913991928,225.9336163037627,2.6582704860292314,0.8971718902866395,0.023179410995843835,0.9189254743012129,0.018181248383277226
kmeans_k12,K-means,12,12,4,409,0.05529509857296944,210.59487884746207,2.635619813933845,0.6867454682494153,0.015102487889843554,0.8406751048918144,0.012671699534674988
hierarchical_k4,Hierarchical,4,4,12,1606,0.20977139472961426,409.23642922551676,1.4905943268388004,0.9705605736582106,0.06255134520631693,0.9750502916496645,0.0478209544967149
hierarchical_k5,Hierarchical,5,5,12,1446,0.22051243484020233,395.5578039437714,1.4954675764992973,0.9841931909555546,0.009133596620755054,0.9715461865428084,0.012383088784899505
hierarchical_k6,Hierarchical,6,6,12,1152,0.16367068886756897,347.5963734684432,1.974408514941957,0.9426807466765244,0.005277927040856877,0.9232531661733623,0.003461043886931187
hierarchical_k7,Hierarchical,7,7,12,1152,0.1415066421031952,311.49995387755524,2.118458705166124,0.9135510627325907,0.020533312074248595,0.8908897946508312,0.024057442736927125
hierarchical_k8,Hierarchical,8,8,12,1152,0.14734217524528503,281.0978881193094,2.028701312591397,0.8859570538028134,0.024458627677227656,0.867450815835532,0.023117285406111816
hierarchical_k9,Hierarchical,9,9,12,1152,0.13464409112930298,255.75768234304618,2.284265172822806,0.8770331281542164,0.024094429261512097,0.8594947065772388,0.011731780004484172
hierarchical_k10,Hierarchical,10,10,4,1152,0.13470694422721863,235.0611377794018,2.149273008828879,0.828305860519723,0.1344970619749629,0.8386504229545638,0.03499287293941937
hierarchical_k11,Hierarchical,11,11,4,736,0.06608303636312485,216.86497705107783,2.6482966982384952,0.6009056974247289,0.02307390576013628,0.7625868445311876,0.018340339888471936
hierarchical_k12,Hierarchical,12,12,4,736,0.06593690067529678,201.5137236533648,2.7604166889678843,0.5988070080943022,0.02173245320440997,0.7568699909857494,0.015041909372635495
louvain_r0_4,Louvain,0.4,6,13,1185,0.19830691814422607,334.4022949968007,1.7069008132253154,0.8861344608660138,0.11526552611365096,0.9116358363122126,0.06403825326389669
louvain_r0_8,Louvain,0.8,8,13,1146,0.14179880917072296,285.6910735193936,2.0666528943879063,0.8737771596023431,0.02231644867756208,0.8638596720407046,0.020319500032733282
louvain_r1_2,Louvain,1.2,11,13,504,0.05190127342939377,208.1476251192036,3.5194688485473806,0.6049794467772422,0.028086349629559346,0.7262974102402205,0.010359847456023072
